(9000, <tf.Tensor: shape=(), dtype=float32, numpy=9.166126e-05>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00011807079>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00012324998>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00024611852>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=7.2682175e-05>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=3.063468e-05>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0003212918>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.014765791>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.010675505>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00027045593>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00032068312>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00033742626>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=6.0185495e-05>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=9.2451126e-05>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029202635>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=7.525549e-05>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=8.551631e-05>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00023309387>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029665214>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00016856895>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=5.994516e-05>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00015166891>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014209396>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.000718579>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0027618746>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0035050493>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.039429814>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.006664638>)
