(1000, 102482990.0)
(2000, 33061950.0)
(3000, 13503097.0)
(4000, 5740039.0)
(5000, 3174932.2)
(6000, 1997263.4)
(7000, 1171564.9)
(8000, 558927.94)
(9000, 397409.9)
(10000, 210611.5)
(11000, 143572.36)
(12000, 53363.324)
(13000, 44776.78)
(14000, 28643.928)
(15000, 13980.987)
(16000, 5152.485)
(17000, 3371.3613)
(18000, 2591.1792)
